Frequency,GB4,OS23-0002,OS23-0003,OS23-0004,OS23-0005-110,OS23-0005-110 (S),OS23-0005-120,OS23-0005-120(S),OS24-0005-020,OS24-0005-040,OS24-0005-050,OS24-0005-060
50,3.56E-06,3.20E-09,-4.15E-10,3.62E-10,2.61E-06,1.88E-06,2.47E-06,9.37E-07,2.31E-05,4.14E-06,-2.31E-11,5.99E-06
60,-1.17E-06,6.77E-09,2.76E-10,1.58E-10,-2.90E-07,-5.00E-07,-1.81E-07,-3.78E-07,4.75E-07,1.10E-05,8.43E-10,2.59E-06
60,-3.87E-07,2.04E-09,-2.65E-09,-3.48E-10,-1.89E-07,-4.98E-07,-2.08E-07,-3.22E-07,-9.79E-09,-6.81E-06,1.56E-09,-8.63E-06
60,3.31E-08,-5.42E-09,3.49E-10,2.45E-08,-1.27E-07,-1.95E-07,-5.79E-07,-1.35E-07,4.21E-08,9.79E-06,-2.17E-09,1.13E-05
60,-1.44E-07,9.81E-09,7.06E-10,1.30E-08,-1.43E-07,-3.43E-07,7.59E-08,-4.15E-07,1.03E-08,-7.38E-06,3.07E-08,-7.76E-06
75,1.62E-05,-6.35E-08,9.14E-08,-4.54E-09,4.32E-06,2.04E-05,5.21E-06,1.71E-05,-1.97E-08,4.25E-06,2.64E-08,5.07E-06
75,1.70E-05,3.47E-08,-4.92E-12,-8.96E-10,4.21E-06,2.01E-05,4.51E-06,1.67E-05,-2.62E-09,-2.83E-07,-1.29E-08,6.79E-06
75,1.69E-05,8.61E-09,-6.76E-10,-6.06E-10,4.10E-06,2.01E-05,1.75E-06,1.72E-05,1.82E-08,-5.65E-06,9.37E-11,3.87E-06
75,1.66E-05,-5.73E-09,1.41E-09,1.54E-10,3.53E-06,2.04E-05,1.66E-06,1.69E-05,-4.91E-08,3.86E-06,4.91E-09,7.94E-06
75,1.76E-05,5.05E-09,1.17E-08,-2.25E-08,4.48E-06,2.04E-05,1.82E-06,1.74E-05,7.13E-08,-1.00E-05,-6.61E-09,4.05E-06
75,6.92E-08,-1.38E-09,-8.76E-10,-5.20E-09,4.28E-06,2.04E-05,1.75E-06,1.74E-05,-2.39E-07,4.58E-06,9.15E-10,6.27E-06
100,-1.72E-06,4.57E-09,2.79E-10,8.21E-10,-8.60E-07,-1.03E-06,6.28E-08,-9.87E-07,-3.65E-06,4.80E-06,-2.71E-10,2.59E-06
100,-1.11E-06,-4.07E-07,-5.23E-10,-2.51E-10,-9.59E-07,-1.02E-06,-1.16E-08,-9.72E-07,2.20E-06,-7.25E-06,2.96E-10,-4.81E-06
100,-3.48E-07,1.68E-07,4.73E-09,1.04E-10,-9.21E-07,-1.02E-06,8.13E-08,-9.57E-07,-2.91E-06,4.58E-06,-2.62E-10,2.08E-06
100,-1.30E-06,5.40E-08,1.24E-09,-3.42E-09,-8.44E-07,-1.02E-06,4.50E-08,-8.67E-07,-5.34E-07,2.17E-06,4.43E-06,1.70E-06
